hour,updated_type,updated_subtype,longitude,latitude,alert_count
00:00,Road Closed,Hazard,-87.73,41.98,1
00:00,Road Closed,Hazard,-87.64,41.83,1
00:00,Road Closed,Unclassified,-87.65,41.88,46
00:00,Road Closed,Unclassified,-87.66,41.9,34
00:00,Road Closed,Unclassified,-87.66,41.94,30
00:00,Road Closed,Unclassified,-87.64,41.83,16
00:00,Road Closed,Unclassified,-87.63,41.87,16
00:00,Road Closed,Unclassified,-87.69,41.88,15
00:00,Road Closed,Unclassified,-87.62,41.88,15
00:00,Road Closed,Unclassified,-87.63,41.88,13
00:00,Road Closed,Unclassified,-87.63,41.89,13
00:00,Road Closed,Unclassified,-87.64,41.89,11
01:00,Accident,Major,-87.65,41.86,11
01:00,Accident,Major,-87.65,41.87,10
01:00,Accident,Major,-87.65,41.88,9
01:00,Accident,Major,-87.72,41.87,8
01:00,Accident,Major,-87.67,41.9,7
01:00,Accident,Major,-87.65,41.85,7
01:00,Accident,Major,-87.64,41.78,7
01:00,Accident,Major,-87.66,41.89,6
01:00,Accident,Major,-87.63,41.72,6
01:00,Accident,Major,-87.75,41.97,5
01:00,Accident,Minor,-87.78,41.87,4
01:00,Accident,Minor,-87.74,41.95,4
01:00,Accident,Minor,-87.67,41.9,4
01:00,Accident,Minor,-87.65,41.85,4
01:00,Accident,Minor,-87.65,41.86,4
01:00,Accident,Minor,-87.65,41.87,4
01:00,Accident,Minor,-87.76,41.96,3
01:00,Accident,Minor,-87.71,41.93,3
01:00,Accident,Minor,-87.69,41.92,3
01:00,Accident,Minor,-87.67,41.91,3
01:00,Accident,Unclassified,-87.67,41.9,23
01:00,Accident,Unclassified,-87.67,41.91,23
01:00,Accident,Unclassified,-87.65,41.87,23
01:00,Accident,Unclassified,-87.65,41.88,23
01:00,Accident,Unclassified,-87.66,41.89,20
01:00,Accident,Unclassified,-87.65,41.86,16
01:00,Accident,Unclassified,-87.66,41.84,12
01:00,Accident,Unclassified,-87.62,41.89,12
01:00,Accident,Unclassified,-87.65,41.85,11
01:00,Accident,Unclassified,-87.63,41.91,11
01:00,Hazard,On Road,-87.66,41.89,68
01:00,Hazard,On Road,-87.65,41.88,58
01:00,Hazard,On Road,-87.65,41.85,51
01:00,Hazard,On Road,-87.65,41.86,47
01:00,Hazard,On Road,-87.64,41.84,47
01:00,Hazard,On Road,-87.67,41.9,46
01:00,Hazard,On Road,-87.67,41.91,45
01:00,Hazard,On Road,-87.65,41.87,44
01:00,Hazard,On Road,-87.74,41.95,43
01:00,Hazard,On Road,-87.63,41.89,43
01:00,Hazard,On Shoulder,-87.66,41.89,189
01:00,Hazard,On Shoulder,-87.65,41.87,165
01:00,Hazard,On Shoulder,-87.67,41.9,125
01:00,Hazard,On Shoulder,-87.65,41.86,122
01:00,Hazard,On Shoulder,-87.64,41.83,121
01:00,Hazard,On Shoulder,-87.76,41.96,114
01:00,Hazard,On Shoulder,-87.75,41.96,113
01:00,Hazard,On Shoulder,-87.59,41.65,111
01:00,Hazard,On Shoulder,-87.64,41.8,101
01:00,Hazard,On Shoulder,-87.61,41.71,101
01:00,Hazard,Unclassified,-87.82,41.98,20
01:00,Hazard,Unclassified,-87.81,41.98,9
01:00,Hazard,Unclassified,-87.81,41.97,8
01:00,Hazard,Unclassified,-87.83,41.99,7
01:00,Hazard,Unclassified,-87.81,41.96,7
01:00,Hazard,Unclassified,-87.82,41.99,6
01:00,Hazard,Unclassified,-87.84,41.98,5
01:00,Hazard,Unclassified,-87.83,41.97,5
01:00,Hazard,Unclassified,-87.75,41.96,5
01:00,Hazard,Unclassified,-87.63,41.81,4
01:00,Hazard,Weather,-87.72,41.82,8
01:00,Hazard,Weather,-87.75,41.81,6
01:00,Hazard,Weather,-87.67,41.91,6
01:00,Hazard,Weather,-87.59,41.65,6
01:00,Hazard,Weather,-87.75,41.78,4
01:00,Hazard,Weather,-87.75,41.96,4
01:00,Hazard,Weather,-87.68,41.93,4
01:00,Hazard,Weather,-87.68,42.0,4
01:00,Hazard,Weather,-87.63,41.9,4
01:00,Hazard,Weather,-87.72,41.77,3
01:00,Jam,Heavy Traffic,-87.66,41.89,258
01:00,Jam,Heavy Traffic,-87.65,41.88,146
01:00,Jam,Heavy Traffic,-87.67,41.9,142
01:00,Jam,Heavy Traffic,-87.65,41.87,142
01:00,Jam,Heavy Traffic,-87.75,41.96,80
01:00,Jam,Heavy Traffic,-87.77,41.97,77
01:00,Jam,Heavy Traffic,-87.65,41.86,71
01:00,Jam,Heavy Traffic,-87.76,41.96,68
01:00,Jam,Heavy Traffic,-87.69,41.92,65
01:00,Jam,Heavy Traffic,-87.67,41.91,57
01:00,Jam,Moderate Traffic,-87.67,41.94,7
01:00,Jam,Moderate Traffic,-87.67,41.91,6
01:00,Jam,Moderate Traffic,-87.67,41.98,6
01:00,Jam,Moderate Traffic,-87.74,41.95,5
01:00,Jam,Moderate Traffic,-87.73,41.82,5
01:00,Jam,Moderate Traffic,-87.71,41.94,5
01:00,Jam,Moderate Traffic,-87.69,41.94,5
01:00,Jam,Moderate Traffic,-87.66,41.84,5
01:00,Jam,Moderate Traffic,-87.75,41.96,4
01:00,Jam,Moderate Traffic,-87.68,41.92,4
01:00,Jam,Stand Still Traffic,-87.66,41.89,178
01:00,Jam,Stand Still Traffic,-87.65,41.88,123
01:00,Jam,Stand Still Traffic,-87.65,41.87,107
01:00,Jam,Stand Still Traffic,-87.67,41.9,84
01:00,Jam,Stand Still Traffic,-87.67,41.91,51
01:00,Jam,Stand Still Traffic,-87.65,41.86,46
01:00,Jam,Stand Still Traffic,-87.65,41.89,43
01:00,Jam,Stand Still Traffic,-87.65,41.95,43
01:00,Jam,Stand Still Traffic,-87.76,41.96,41
01:00,Jam,Stand Still Traffic,-87.71,41.93,40
01:00,Jam,Unclassified,-87.66,41.89,62
01:00,Jam,Unclassified,-87.67,41.9,47
01:00,Jam,Unclassified,-87.65,41.88,43
01:00,Jam,Unclassified,-87.65,41.87,32
01:00,Jam,Unclassified,-87.69,41.92,25
01:00,Jam,Unclassified,-87.76,41.96,24
01:00,Jam,Unclassified,-87.75,41.96,23
01:00,Jam,Unclassified,-87.67,41.91,23
01:00,Jam,Unclassified,-87.62,41.89,21
01:00,Jam,Unclassified,-87.68,41.92,20
01:00,Road Closed,Construction,-87.66,41.9,1
01:00,Road Closed,Construction,-87.66,41.94,1
01:00,Road Closed,Construction,-87.65,41.94,1
01:00,Road Closed,Construction,-87.65,41.97,1
01:00,Road Closed,Construction,-87.64,41.92,1
01:00,Road Closed,Event,-87.75,41.96,642
01:00,Road Closed,Event,-87.65,41.88,435
01:00,Road Closed,Event,-87.64,41.71,214
01:00,Road Closed,Event,-87.6,41.69,214
01:00,Road Closed,Event,-87.64,41.83,213
01:00,Road Closed,Event,-87.63,41.88,52
01:00,Road Closed,Event,-87.63,41.87,51
01:00,Road Closed,Event,-87.64,41.87,27
01:00,Road Closed,Event,-87.69,41.69,26
01:00,Road Closed,Event,-87.64,41.88,26
01:00,Road Closed,Hazard,-87.75,41.98,1
01:00,Road Closed,Unclassified,-87.65,41.88,49
01:00,Road Closed,Unclassified,-87.66,41.9,24
01:00,Road Closed,Unclassified,-87.66,41.94,19
